player_hand,dealer_upcard,action
HARD_4,TWO,HIT
HARD_5,TWO,HIT
HARD_6,TWO,HIT
HARD_7,TWO,HIT
HARD_8,TWO,HIT
HARD_9,TWO,HIT
HARD_10,TWO,DOUBLE_DOWN
HARD_11,TWO,DOUBLE_DOWN
HARD_12,TWO,HIT
HARD_13,TWO,STAND
HARD_14,TWO,STAND
HARD_15,TWO,STAND
HARD_16,TWO,STAND
HARD_17,TWO,STAND
HARD_18,TWO,STAND
HARD_19,TWO,STAND
HARD_20,TWO,STAND
HARD_21,TWO,STAND
HARD_4,THREE,HIT
HARD_5,THREE,HIT
HARD_6,THREE,HIT
HARD_7,THREE,HIT
HARD_8,THREE,HIT
HARD_9,THREE,DOUBLE_DOWN
HARD_10,THREE,DOUBLE_DOWN
HARD_11,THREE,DOUBLE_DOWN
HARD_12,THREE,HIT
HARD_13,THREE,STAND
HARD_14,THREE,STAND
HARD_15,THREE,STAND
HARD_16,THREE,STAND
HARD_17,THREE,STAND
HARD_18,THREE,STAND
HARD_19,THREE,STAND
HARD_20,THREE,STAND
HARD_21,THREE,STAND
HARD_4,FOUR,HIT
HARD_5,FOUR,HIT
HARD_6,FOUR,HIT
HARD_7,FOUR,HIT
HARD_8,FOUR,HIT
HARD_9,FOUR,DOUBLE_DOWN
HARD_10,FOUR,DOUBLE_DOWN
HARD_11,FOUR,DOUBLE_DOWN
HARD_12,FOUR,STAND
HARD_13,FOUR,STAND
HARD_14,FOUR,STAND
HARD_15,FOUR,STAND
HARD_16,FOUR,STAND
HARD_17,FOUR,STAND
HARD_18,FOUR,STAND
HARD_19,FOUR,STAND
HARD_20,FOUR,STAND
HARD_21,FOUR,STAND
HARD_4,FIVE,HIT
HARD_5,FIVE,HIT
HARD_6,FIVE,HIT
HARD_7,FIVE,HIT
HARD_8,FIVE,HIT
HARD_9,FIVE,DOUBLE_DOWN
HARD_10,FIVE,DOUBLE_DOWN
HARD_11,FIVE,DOUBLE_DOWN
HARD_12,FIVE,STAND
HARD_13,FIVE,STAND
HARD_14,FIVE,STAND
